question,answer,llm_answer,model_parsed,correct_parsed,is_correct
"Jasmine swims 12 laps every afternoon, Monday through Friday. How many laps does she swim in five weeks?","Jasmine swims 5 days a week.
The number of laps per week is 12 laps/day * 5 days/week = <<12*5=60>>60 laps/week.
In five weeks, she swims 5 weeks * 60 laps/week = <<5*60=300>>300 laps.
#### 300","First, we need to determine the number of laps Jasmine swims in one week.
She swims 12 laps each afternoon, and there are 5 afternoons from Monday to Friday.
Laps per week = Laps per afternoon * Number of afternoons per week
Laps per week = 12 laps/afternoon * 5 afternoons/week = 60 laps/week

Next, we need to calculate the total number of laps she swims in five weeks.
Total laps = Laps per week * Number of weeks
Total laps = 60 laps/week * 5 weeks = 300 laps

#### 300",300.0,300.0,True
"Nicholas bought six times as much fabric as Kenneth. If Kenneth paid $40 for an oz of fabric and bought 700oz, calculate the amount of money that Nicholas paid more than Kenneth for the fabric he bought.","If Kenneth bought 700oz of fabric at $40 per oz, he spent a total of 700*40 = $<<700*40=28000>>28000
Nicholas bought six times as much fabric as Kenneth, meaning Nicholas bought 6*700 = <<6*700=4200>>4200oz of fabric.
If an oz of fabric is sold at $40, Nicholas paid 4200*$40 =$<<4200*40=168000>>168000 for the 4200oz of fabric.
The amount of money that Nicholas paid more than Kenneth for the fabric he bought is $168000-28000 = $<<168000-28000=140000>>140000.
#### 140000","First, we need to determine how much fabric Kenneth bought.
Kenneth bought 700 oz of fabric.

Next, we need to calculate the total cost of the fabric Kenneth bought.
Kenneth paid $40 per oz.
Total cost for Kenneth = 700 oz * $40/oz = $28,000.

Now, we need to determine how much fabric Nicholas bought.
Nicholas bought six times as much fabric as Kenneth.
Fabric bought by Nicholas = 6 * 700 oz = 4200 oz.

Next, we need to calculate the total cost of the fabric Nicholas bought.
Nicholas paid the same price per oz as Kenneth, which is $40/oz.
Total cost for Nicholas = 4200 oz * $40/oz = $168,000.

Finally, we need to calculate the amount of money that Nicholas paid more than Kenneth.
Amount Nicholas paid more than Kenneth = Total cost for Nicholas - Total cost for Kenneth
Amount Nicholas paid more than Kenneth = $168,000 - $28,000 = $140,000.

#### $140,000",140000.0,140000.0,True
"There are 2,000 kids in camp. If half of the kids are going to soccer camp, and 1/4 of the kids going to soccer camp are going to soccer camp in the morning, how many kids are going to soccer camp in the afternoon?","There are 2000/2=<<2000/2=1000>>1000 kids going to soccer camp.
There are 1000/4=<<1000/4=250>>250 kids going to soccer camp in the morning.
There are 250*3=<<250*3=750>>750 kids going to soccer camp in the afternoon.
#### 750","The total number of kids in camp is 2,000.

Step 1: Calculate the number of kids going to soccer camp.
Half of the kids are going to soccer camp.
Number of kids going to soccer camp = 2,000 * (1/2) = 1,000 kids.

Step 2: Calculate the number of kids going to soccer camp in the morning.
1/4 of the kids going to soccer camp are going in the morning.
Number of kids going to soccer camp in the morning = 1,000 * (1/4) = 250 kids.

Step 3: Calculate the number of kids going to soccer camp in the afternoon.
The kids going to soccer camp are either going in the morning or in the afternoon.
Number of kids going to soccer camp in the afternoon = (Total kids in soccer camp) - (Kids in soccer camp in the morning)
Number of kids going to soccer camp in the afternoon = 1,000 - 250 = 750 kids.

#### 750",750.0,750.0,True
"After five years, Ron will be four times as old as Maurice. If Ron's age now is 43, how old is Maurice now?","If Ron is 43 now, he will be 43+5 = <<43+5=48>>48 years old in five years.
After five years, Ron will be four times as old as Maurice, meaning Maurice will be 48/4 =<<48/4=12>>12 years old then.
Currently, Maurice is 12-5 = <<12-5=7>>7 years old.
#### 7","Let R be Ron's current age and M be Maurice's current age.
We are given that Ron's current age is 43, so R = 43.

In five years, Ron's age will be R + 5.
In five years, Maurice's age will be M + 5.

The problem states that after five years, Ron will be four times as old as Maurice.
So, we can write the equation:
R + 5 = 4 * (M + 5)

Now, substitute Ron's current age (R = 43) into the equation:
43 + 5 = 4 * (M + 5)
48 = 4 * (M + 5)

Now, we need to solve for M. Divide both sides of the equation by 4:
48 / 4 = M + 5
12 = M + 5

Subtract 5 from both sides of the equation to find M:
12 - 5 = M
7 = M

So, Maurice's current age is 7.

Let's check our answer:
Ron's current age = 43
Maurice's current age = 7

In five years:
Ron's age = 43 + 5 = 48
Maurice's age = 7 + 5 = 12

Is Ron's age in five years four times Maurice's age in five years?
48 = 4 * 12
48 = 48
The condition is met.

#### 7",7.0,7.0,True
"Clara is climbing to the top of a historical tower with stone stairs. Each level has eight huge steps in the stairs. Every step is made up of three massive blocks of stone. By the time she reaches the top, she has climbed past 96 blocks of stone. How many levels are there in the tower?","Clara climbed past 96 / 3 = <<96/3=32>>32 steps made up of 3 blocks of stone each.
At 8 steps per level, there are 32 / 8 = <<32/8=4>>4 levels in the tower.
#### 4","The problem states that Clara has climbed past 96 blocks of stone.
We are also told that each step is made up of three massive blocks of stone.
To find the total number of steps Clara has climbed, we divide the total number of blocks by the number of blocks per step:
Number of steps = Total blocks / Blocks per step
Number of steps = 96 blocks / 3 blocks/step = 32 steps

We are also told that each level has eight huge steps in the stairs.
To find the number of levels Clara has climbed, we divide the total number of steps by the number of steps per level:
Number of levels = Total steps / Steps per level
Number of levels = 32 steps / 8 steps/level = 4 levels

Therefore, there are 4 levels in the tower.

#### 4",4.0,4.0,True
The white rabbit can hop 15 meters in one minute. The brown rabbit hops 12 meters per minute. What is the total distance the two rabbits will hop in 5 minutes?,"White rabbit + brown rabbit = 15 + 12 = <<15+12=27>>27
5 minutes * 27 = <<5*27=135>>135 meters
The two rabbits will hop 135 meters in 5 minutes.
#### 135","Let's think step by step.

**Step 1: Calculate the distance the white rabbit hops in 5 minutes.**
The white rabbit hops 15 meters per minute.
In 5 minutes, the white rabbit will hop: 15 meters/minute * 5 minutes = 75 meters.

**Step 2: Calculate the distance the brown rabbit hops in 5 minutes.**
The brown rabbit hops 12 meters per minute.
In 5 minutes, the brown rabbit will hop: 12 meters/minute * 5 minutes = 60 meters.

**Step 3: Calculate the total distance the two rabbits hop in 5 minutes.**
To find the total distance, we add the distance hopped by the white rabbit and the distance hopped by the brown rabbit.
Total distance = Distance (white rabbit) + Distance (brown rabbit)
Total distance = 75 meters + 60 meters = 135 meters.

#### 135",135.0,135.0,True
Chelsea made 4 batches of cupcakes for the bake sale. The cupcakes took 20 minutes to bake and 30 minutes to ice per batch. How long did it take Chelsea to make the cupcakes?,"Chelsea baked 4 batches of cupcakes x 20 minutes each = <<4*20=80>>80 minutes of baking.
She iced 4 batches of cupcakes x 30 minutes each = <<4*30=120>>120 minutes.
It took Chelsea 80 + 120 = <<80+120=200>>200 minutes to make the cupcakes for the bake sale.
#### 200","First, we need to determine the total time spent on one batch of cupcakes.
Time to bake per batch = 20 minutes
Time to ice per batch = 30 minutes
Total time per batch = Time to bake + Time to ice = 20 minutes + 30 minutes = 50 minutes.

Next, we need to calculate the total time for all the batches Chelsea made.
Number of batches = 4
Total time for all batches = Total time per batch * Number of batches = 50 minutes/batch * 4 batches = 200 minutes.

Finally, we can convert the total time into hours and minutes for a more understandable answer.
There are 60 minutes in an hour.
Number of hours = 200 minutes / 60 minutes/hour = 3 with a remainder.
Remainder in minutes = 200 minutes - (3 hours * 60 minutes/hour) = 200 minutes - 180 minutes = 20 minutes.
So, 200 minutes is equal to 3 hours and 20 minutes.

#### 200 minutes",200.0,200.0,True
Chad sandwiches 2 crackers with a scoop of peanut butter.  He has 5 of these crackers a night before bed.  A box of crackers has 4 sleeves with each sleeve holding 28 crackers.  How many nights will 5 boxes of crackers last him?,"Chad uses 2 crackers for each ""sandwich"" and has 5 sandwiches a night so he eats 2*5 = <<2*5=10>>10 crackers a night
The box has 4 sleeves of crackers and each sleeve has 28 crackers for a total of 4*28 = <<4*28=112>>112 crackers
1 box has 112 crackers so 5 boxes will have 112*5 = <<112*5=560>>560 crackers
He eats 10 crackers a night and 5 boxes have 560 crackers so they will last him 560//10 = <<560//10=56>>56 nights
#### 56","First, we need to determine the total number of crackers Chad has.
Chad has 5 boxes of crackers.
Each box has 4 sleeves.
So, the total number of sleeves is $5 \text{ boxes} \times 4 \text{ sleeves/box} = 20 \text{ sleeves}$.
Each sleeve holds 28 crackers.
So, the total number of crackers is $20 \text{ sleeves} \times 28 \text{ crackers/sleeve} = 560 \text{ crackers}$.

Next, we need to determine how many crackers Chad eats per night.
Chad sandwiches 2 crackers with a scoop of peanut butter. This means he uses 2 crackers for each sandwich.
He has 5 of these sandwiches a night.
So, the total number of crackers he eats per night is $5 \text{ sandwiches} \times 2 \text{ crackers/sandwich} = 10 \text{ crackers/night}$.

Finally, we can calculate how many nights the crackers will last.
Total crackers available = 560 crackers.
Crackers eaten per night = 10 crackers/night.
Number of nights the crackers will last = $\frac{\text{Total crackers}}{\text{Crackers per night}} = \frac{560 \text{ crackers}}{10 \text{ crackers/night}} = 56 \text{ nights}$.

#### 56",56.0,56.0,True
"Miranda wants to buy a pair of heels she saw online. She saved money for 3 months. Her sister heard that she was sad and gave her $50 for her to buy the heels. If she paid $260 in total for the heels, how much money did she save per month?","First find the total amount of money she saved: $260 - $50 = $<<260-50=210>>210
Then divide that number by the number of months she saved to find the amount she saved each month: $210 / 3 months = $<<210/3=70>>70/month
#### 70","Let's think step by step.
The total cost of the heels was $260.
Miranda's sister gave her $50.
The amount Miranda saved from her own money is the total cost minus the amount her sister gave her: $260 - $50 = $210.
Miranda saved this amount over 3 months.
To find out how much she saved per month, we divide the total amount she saved by the number of months: $210 / 3 months = $70 per month.

#### $70",70.0,70.0,True
"If 100 pieces, each 15 centimeters long, are cut from a 51-meter long ribbon, how much ribbon remains ?","The total length cut from the 51-meter ribbon is 100 x 15 centimeters = <<100*15=1500>>1500 centimeters.
Since 1 meter is equal to 100 centimeters, then 1500 centimeters is equal to 1500/100 = <<1500/100=15>>15 meters.
Therefore, 51 - 15 = <<51-15=36>>36 meters of ribbon remains.
#### 36","First, we need to ensure all units are consistent. The length of the ribbon is given in meters, and the length of each piece cut is in centimeters. We will convert the ribbon's length to centimeters.
1 meter = 100 centimeters
So, 51 meters = 51 * 100 centimeters = 5100 centimeters.

Next, we calculate the total length of ribbon cut.
There are 100 pieces, and each piece is 15 centimeters long.
Total length cut = 100 pieces * 15 centimeters/piece = 1500 centimeters.

Finally, we subtract the total length cut from the original length of the ribbon to find the remaining length.
Remaining ribbon = Original ribbon length - Total length cut
Remaining ribbon = 5100 centimeters - 1500 centimeters = 3600 centimeters.

The question asks for the remaining ribbon, and it's usually best to provide the answer in the same unit as the original measurement if possible, or a more convenient unit. Since the original was in meters, we can convert the remaining length back to meters.
3600 centimeters = 3600 / 100 meters = 36 meters.

#### 36 meters",36.0,36.0,True
